Means of control,Adult
Debt bondage,16
Takes earnings,32
Restricts financial access,3
Threats,39
Psychological abuse,42
Physical abuse,33
Sexual abuse,17
False promises,22
Psychoactive substances,18
Restricts movement,36
Restricts medical care,4
Excessive working hours,14
Uses children,3
Threat of law enforcement,12
Withholds necessities,18
Withholds documents,13
Other means ,25
