Means of control,Children
Debt bondage,14
Takes earnings,23
Restricts financial access,0
Threats,52
Psychological abuse,65
Physical abuse,45
Sexual abuse,34
False promises,48
Psychoactive substances,9
Restricts movement,31
Restricts medical care,16
Excessive working hours,27
Uses children,0
Threat of law enforcement,8
Withholds necessities,19
Withholds documents,11
Other means ,2
