Means of control,Child
Debt bondage,19
Takes earnings,24
Restricts financial access,1
Threats,15
Psychological abuse,20
Physical abuse,21
Sexual abuse,11
False promises,68
Psychoactive substances,2
Restricts movement,25
Restricts medical care,9
Excessive working hours,20
Threat of law enforcement,7
Withholds necessities,10
Withholds documents,12
Other means ,8
